pi,p,b,r
-0.25,0.25,0.5,-0.5
-0.9285714285714286,0.07142857142857142,1.0,-0.8571428571428572
-0.9565217391304348,0.043478260869565216,1.0,-0.9130434782608696
-0.975609756097561,0.024390243902439025,1.0,-0.9512195121951219
-0.5,0.0,0.5,-1.0
-0.5,0.0,0.5,-1.0
-0.726829268292683,0.07317073170731707,0.8,-0.8536585365853658
-0.40909090909090906,0.09090909090909091,0.5,-0.8181818181818181
-0.5,0.0,0.5,-1.0
-0.5075757575757576,0.1590909090909091,0.6666666666666666,-0.6818181818181819
-0.9666666666666667,0.03333333333333333,1.0,-0.9333333333333333
-0.96,0.04,1.0,-0.92
-0.9615384615384616,0.038461538461538464,1.0,-0.9230769230769231
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.9642857142857143,0.03571428571428571,1.0,-0.9285714285714286
-0.8571428571428572,0.14285714285714285,1.0,-0.7142857142857143
-0.9761904761904762,0.023809523809523808,1.0,-0.9523809523809523
-0.8333333333333334,0.16666666666666666,1.0,-0.6666666666666667
-0.8823529411764706,0.11764705882352941,1.0,-0.7647058823529411
-0.9666666666666667,0.03333333333333333,1.0,-0.9333333333333333
-1.0,0.0,1.0,-1.0
-1.0,0.0,1.0,-1.0
-0.9230769230769231,0.07692307692307693,1.0,-0.8461538461538461
-1.0,0.0,1.0,-1.0
-0.9655172413793104,0.034482758620689655,1.0,-0.9310344827586207
0.04150197628458498,0.08695652173913043,0.045454545454545456,-0.9090909090909091
1.0,1.0,0.0,-1.0
-0.9655172413793104,0.034482758620689655,1.0,-0.9310344827586207
0.041666666666666664,0.041666666666666664,0.0,-1.0
0.22142857142857142,0.25,0.02857142857142857,-0.9428571428571428
0.21774193548387097,0.25,0.03225806451612903,-0.935483870967742
0.36363636363636365,0.4,0.03636363636363636,-0.9272727272727272
0.0021645021645021606,0.047619047619047616,0.045454545454545456,-0.9090909090909091
0.4285714285714286,0.5,0.07142857142857142,-0.8571428571428572
-0.26363636363636367,0.13636363636363635,0.4,-0.7272727272727273
-0.15,0.1,0.25,-0.8
-0.16666666666666666,0.05555555555555555,0.2222222222222222,-0.8888888888888888
-0.9666666666666667,0.03333333333333333,1.0,-0.9333333333333333
0.043478260869565216,0.08695652173913043,0.043478260869565216,-0.9130434782608696
-0.033333333333333354,0.16666666666666666,0.2,-0.6666666666666667
-0.14285714285714285,0.0,0.14285714285714285,-1.0
-0.09999999999999999,0.06666666666666667,0.16666666666666666,-0.8666666666666667
-0.375,0.125,0.5,-0.75
-0.9642857142857143,0.03571428571428571,1.0,-0.9285714285714286
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.14285714285714285,0.14285714285714285,0.2857142857142857,-0.7142857142857143
-0.3115942028985507,0.021739130434782608,0.3333333333333333,-0.9565217391304348
-0.3230769230769231,0.07692307692307693,0.4,-0.8461538461538461
-0.4565217391304348,0.043478260869565216,0.5,-0.9130434782608696
-0.17948717948717946,0.15384615384615385,0.3333333333333333,-0.6923076923076923
-0.2888888888888889,0.1111111111111111,0.4,-0.7777777777777778
-0.9411764705882353,0.058823529411764705,1.0,-0.8823529411764706
-0.3120567375886525,0.02127659574468085,0.3333333333333333,-0.9574468085106383
-0.4375,0.0625,0.5,-0.875
0.16666666666666666,0.16666666666666666,0.0,-1.0
-0.3787234042553192,0.02127659574468085,0.4,-0.9574468085106383
-0.375,0.125,0.5,-0.75
-0.9705882352941176,0.029411764705882353,1.0,-0.9411764705882353
-0.2777777777777778,0.2222222222222222,0.5,-0.5555555555555556
-0.3363363363363363,0.10810810810810811,0.4444444444444444,-0.7837837837837838
-0.8333333333333334,0.16666666666666666,1.0,-0.6666666666666667
-1.0,0.0,1.0,-1.0
-0.5,0.0,0.5,-1.0
-0.5666666666666667,0.1,0.6666666666666666,-0.8
-0.5,0.0,0.5,-1.0
-0.4375,0.0625,0.5,-0.875
-0.875,0.125,1.0,-0.75
-0.30107526881720426,0.03225806451612903,0.3333333333333333,-0.935483870967742
-0.43333333333333335,0.06666666666666667,0.5,-0.8666666666666667
-0.2708333333333333,0.0625,0.3333333333333333,-0.875
-1.0,0.0,1.0,-1.0
-0.3181818181818182,0.045454545454545456,0.36363636363636365,-0.9090909090909091
-0.5,0.0,0.5,-1.0
-0.7032258064516129,0.0967741935483871,0.8,-0.8064516129032258
-1.0,0.0,1.0,-1.0
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.6333333333333333,0.03333333333333333,0.6666666666666666,-0.9333333333333333
-0.5,0.0,0.5,-1.0
-0.4696969696969697,0.030303030303030304,0.5,-0.9393939393939394
-0.5,0.0,0.5,-1.0
-0.5490196078431372,0.11764705882352941,0.6666666666666666,-0.7647058823529411
-0.9444444444444444,0.05555555555555555,1.0,-0.8888888888888888
-0.3411764705882353,0.058823529411764705,0.4,-0.8823529411764706
-0.5,0.0,0.5,-1.0
-0.8571428571428572,0.14285714285714285,1.0,-0.7142857142857143
-1.0,0.0,1.0,-1.0
-0.5,0.0,0.5,-1.0
-0.2695035460992908,0.06382978723404255,0.3333333333333333,-0.8723404255319149
-0.9285714285714286,0.07142857142857142,1.0,-0.8571428571428572
-0.9333333333333333,0.06666666666666667,1.0,-0.8666666666666667
-0.4523809523809524,0.047619047619047616,0.5,-0.9047619047619048
-0.9230769230769231,0.07692307692307693,1.0,-0.8461538461538461
-1.0,0.0,1.0,-1.0
-0.8421052631578947,0.15789473684210525,1.0,-0.6842105263157895
-0.9714285714285714,0.02857142857142857,1.0,-0.9428571428571428
-0.9836065573770492,0.01639344262295082,1.0,-0.9672131147540983
-0.9444444444444444,0.05555555555555555,1.0,-0.8888888888888888
-0.9428571428571428,0.05714285714285714,1.0,-0.8857142857142857
-0.9411764705882353,0.058823529411764705,1.0,-0.8823529411764706
-0.9047619047619048,0.09523809523809523,1.0,-0.8095238095238095
-0.9803921568627451,0.0196078431372549,1.0,-0.9607843137254902
-0.6071428571428572,0.14285714285714285,0.75,-0.7142857142857143
-1.0,0.0,1.0,-1.0
-0.94,0.06,1.0,-0.88
-0.9285714285714286,0.07142857142857142,1.0,-0.8571428571428572
-0.9523809523809523,0.047619047619047616,1.0,-0.9047619047619048
-0.9716981132075472,0.02830188679245283,1.0,-0.9433962264150944
